name,Inducted,link
Mel Tillis,2007,https://countrymusichalloffame.org/artist/mel-tillis/
Floyd Tillman,1984,https://countrymusichalloffame.org/artist/floyd-tillman/
Merle Travis,1977,https://countrymusichalloffame.org/artist/merle-travis/
Randy Travis,2016,https://countrymusichalloffame.org/artist/randy-travis/
Ernest Tubb,1965,https://countrymusichalloffame.org/artist/ernest-tubb/
Grant Turner,1981,https://countrymusichalloffame.org/artist/grant-turner/
Conway Twitty,1999,https://countrymusichalloffame.org/artist/conway-twitty/
Porter Wagoner,2002,https://countrymusichalloffame.org/artist/porter-wagoner/
Cindy Walker,1997,https://countrymusichalloffame.org/artist/cindy-walker/
Jo Walker-Meador,1995,https://countrymusichalloffame.org/artist/jo-walker-meador/
Kitty Wells,1976,https://countrymusichalloffame.org/artist/kitty-wells/
E. W. “Bud” Wendell,1998,https://countrymusichalloffame.org/artist/e-w-bud-wendell/
Dottie West,2018,https://countrymusichalloffame.org/artist/dottie-west/
Don Williams,2010,https://countrymusichalloffame.org/artist/don-williams/
Hank Williams,1961,https://countrymusichalloffame.org/artist/hank-williams/
Bob Wills,1968,https://countrymusichalloffame.org/artist/bob-wills/
Mac Wiseman,2014,https://countrymusichalloffame.org/artist/mac-wiseman/
Tammy Wynette,1998,https://countrymusichalloffame.org/artist/tammy-wynette/
Faron Young,2000,https://countrymusichalloffame.org/artist/faron-young/
