name,birthplace,birthdate,death,Inducted
Ralph Peer,"Kansas City, Missouri","May 22, 1892","January 19, 1960",1984
Sam Phillips,"Florence, Alabama","January 5, 1923","July 30, 2003",2001
Webb Pierce,"West Monroe, Louisiana","August 8, 1921","February 24, 1991",2001
Elvis Presley,"Tupelo, Mississippi","January 8, 1935","August 16, 1977",1998
Frances Preston,"Nashville, Tennessee","August 27, 1928","June 13, 2012",1992
Ray Price,"Perryville, Texas","January 12, 1926","December 16, 2013",1996
Charley Pride,"Sledge, Mississippi","March 18, 1934",,2000
​Jerry Reed,"Atlanta, Georgia","March 20, 1937","September 1, 2008",2017
Jim Reeves,"Panola County, Texas","August 20, 1923","July 31, 1964",1967
Tex Ritter,"Panola County, Texas","January 12, 1905","January 2, 1974",1964
Hargus “Pig” Robbins,"Rhea County, Tennessee","January 18, 1938",,2012
Marty Robbins,"Near Glendale, Arizona","September 26, 1925","December 8, 1982",1982
Jimmie Rodgers,"Meridian, Mississippi","September 8, 1897","May 26, 1933",1961
Kenny Rogers,"Houston, Texas","August 21, 1938","March 20, 2020",2013
Roy Rogers,"Cincinnati, Ohio","November 5, 1911","July 6, 1998",1988
Fred Rose,"Evansville, Indiana","August 24, 1898","December 1, 1954",1961
Wesley Rose,"Chicago, Illinois","February 11, 1918","April 26, 1990",1986
Arthur E. Satherley,"Bristol, England","October 19, 1889","February 10, 1986",1971
Don Schlitz,"Durham, North Carolina","August 29, 1952",,2017
Jean Shepard,"Pauls Valley, Oklahoma","November 21, 1933","September 25, 2016",2011
Billy Sherrill,"Phil Campbell, Alabama","November 5, 1936","August 4, 2015",2010
Stephen Sholes,"Washington, D.C.","February 12, 1911","April 22, 1968",1967
Ricky Skaggs,"Cordell, Kentucky","July 18, 1954",,2018
Carl Smith,"Maynardville, Tennessee","March 15, 1927","January 16, 2010",2003
Connie Smith,"Elkhart, Indiana","August 14, 1941",,2012
Hank Snow,"Brooklyn, Nova Scotia, Canada","May 9, 1914","December 20, 1999",1979
Sons of the Pioneers,,,,1980
Jack Stapp,"Nashville, Tennessee","December 8, 1912","December 20, 1980",1989
Ray Stevens,"Clarkdale, Georgia","January 24, 1939",,2019
Cliffie Stone,"Stockton, California","March 1, 1917","January 17, 1998",1989
Ernest V. “Pop” Stoneman,"Monarat, Virginia","May 25, 1893","June 14, 1968",2008
George Strait,"Poteet, Texas","May 18, 1952",,2006
The Duke of Paducah,"DeSoto, Missouri","May 12, 1901","June 20, 1986",1986
The Statler Brothers,,,,2008
Hank Thompson,"Waco, Texas","September 3, 1925","November 6, 2007",1989
Mel Tillis,"Tampa, Florida","August 8, 1932","November 19, 2017",2007
Floyd Tillman,"Ryan, Oklahoma","December 8, 1914","August 22, 2003",1984
Merle Travis,"Rosewood, Kentucky","November 29, 1917","October 20, 1983",1977
Randy Travis,"Marshville, North Carolina","May 4, 1959",,2016
Ernest Tubb,"Near Crisp, Texas","February 9, 1914","September 6, 1984",1965
Grant Turner,"Baird, Texas","May 17, 1912","October 19, 1991",1981
Conway Twitty,"Friars Point, Mississippi","September 1, 1933","June 5, 1993",1999
Porter Wagoner,"Howell County, Missouri","August 12, 1927","October 28, 2007",2002
Cindy Walker,"Mart, Texas","July 20, 1918","March 23, 2006",1997
Jo Walker-Meador,"Orlinda, Tennessee","February 16, 1924","August 16, 2017",1995
Kitty Wells,"Nashville, Tennessee","August 30, 1919","July 16, 2012",1976
E. W. “Bud” Wendell,"Akron, Ohio","August 17, 1927",,1998
Dottie West,"McMinnville, Tennessee","October 11, 1932","September 4, 1991",2018
Don Williams,"Floydada, Texas","May 27, 1939","September 8, 2017",2010
Hank Williams,"Mount Olive, Alabama","September 17, 1923","January 1, 1953",1961
Bob Wills,"Kosse, Texas","March 6, 1905","May 13, 1975",1968
Mac Wiseman,"Crimora, Virginia","May 23, 1925","February 24, 2019",2014
Tammy Wynette,"Itawamba County, Mississippi","May 5, 1942","April 6, 1998",1998
Faron Young,"Shreveport, Louisiana","February 25, 1932","December 10, 1996",2000
